Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,58.55,34,College,949044,1070222,946401,0,0,26329,0,0,0,0,0,0,1382097,756787,141609,665572811,575193100.0,510992179.0,28558174.0,7047391.0,11472540.0,5800404.0,2369920.0,530453.0,3590,2728,13,23,6318,36,1855,15,4455,21,8,0,307,3,2393,21,152,0,220,0,13,0,2315,24
IR-C-C-8308,Pachhunga University College,Aizawl,Mizoram,58.24,35,College,539088,1033188,3416495,3638719,184032,0,0,0,0,0,0,0,7762643,2689918,3898334,361748669,324152587.0,306348799.0,21966833.0,15222555.0,8840374.0,2445500.0,0.0,0.0,1279,1424,54,34,2703,88,2665,87,27,1,11,0,0,0,2654,88,2313,88,74,0,7,0,260,0
IR-C-C-41173,"St. Xavier's College, Palayamkottai",Palayamkottai,Tamil Nadu,58.23,36,College,496542,1695381,369991,10668486,198080,0,0,0,0,0,0,0,1251375,3076298,2376942,245954336,257013209.0,175514764.0,40370618.0,16267917.0,8790912.0,676149.0,62058.0,310613.0,1974,1596,294,435,3570,729,3569,717,1,12,0,0,303,53,3239,668,1429,103,86,67,14,5,2013,546
IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,58.22,37,College,3698013,3313174,2847462,15479317,9818348,9952718,0,0,0,0,0,0,112873648,35125690,15913506,311923862,301791309.0,384296021.0,84094440.0,80857541.0,80159227.0,10458050.0,3517011.0,2532875.0,3588,3430,433,545,7018,978,4813,724,2074,235,131,19,668,89,6131,877,35,11,1287,160,137,14,5340,781
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,58.18,38,College,2188550,1666866,892697,5985112,0,0,0,0,0,0,0,0,994863,964567,0,255418629,265562672.0,200797006.0,32913471.0,30866875.0,24027251.0,63500.0,0.0,0.0,0,1784,0,0,1784,0,657,0,1110,0,17,0,537,0,301,0,319,0,165,0,38,0,316,0
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,57.79,39,College,1321741,779600,475453,558519,835855,0,0,0,0,0,0,0,580470,1275710,1030187,478121551,418928501.0,406852538.0,11704168.0,29951459.0,17936128.0,369567.0,93140.0,366200.0,0,3060,0,18,3060,18,1705,6,1335,12,20,0,869,9,411,6,135,0,928,9,0,0,217,6
IR-C-C-6413,Sri Guru Gobind Singh College of Commerce,Delhi,Delhi,57.79,39,College,1409070,692004,274046,11995500,658516,107605,0,0,0,0,0,0,26177947,12832238,19927711,322202237,232291283.0,212387837.0,55153855.0,32952255.0,41568225.0,4318072.0,3826214.0,1947427.0,841,805,19,34,1646,53,928,41,684,12,34,0,503,5,79,0,73,0,501,5,0,0,8,0
IR-C-C-35787,"Holy Cross College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,57.53,41,College,1697036,1882868,2118436,6050459,296204,856973,0,0,0,0,0,0,27886852,16712637,17832068,282910691,344057121.0,216241131.0,43834544.0,30608658.0,23260955.0,1695903.0,1064434.0,946285.0,43,5025,51,778,5068,829,5045,826,21,2,2,1,3323,562,566,72,2137,220,383,55,101,0,1268,359
IR-C-C-41154,"Nesamony Memorial Christian College, Marthandam, Kanyakumari Dist.",Marthandam,Tamil Nadu,57.03,42,College,176183,101215,257115,4047506,2246196,636984,0,0,0,0,0,0,1406075,6150,0,213928991,225163334.0,195617536.0,15236972.0,5749689.0,7412703.0,305888.0,150000.0,0.0,1142,1607,162,700,2749,862,2665,780,84,82,0,0,1937,221,812,641,1777,170,13,3,0,0,959,689
IR-C-C-6417,Kamala Nehru College,Delhi,Delhi,56.95,43,College,1948478,1273167,648937,1610562,1573200,725598,0,0,0,0,0,0,2410901,1525306,818147,363757062,344141039.0,301747798.0,6758045.0,3448768.0,3030916.0,1870886.0,807582.0,448740.0,0,3197,0,186,3197,186,1034,51,2154,135,9,0,256,11,1368,40,74,3,1542,44,8,4,0,0
IR-C-C-35868,Dhanalakshmi Srinivasan College of Arts and Science for Women,Perambalur,Tamil Nadu,56.91,44,College,3602525,4753800,6407400,46903613,16568953,31502200,0,0,0,0,0,0,36544100,17974433,19251625,173887868,343419000.0,366852000.0,18696200.0,75020800.0,120107800.0,4352000.0,1680000.0,1846000.0,0,1993,0,1278,1993,1278,1849,1090,144,188,0,0,66,42,1255,769,241,70,1060,729,0,0,20,12
IR-C-I-1385,Fergusson College (Autonomous),Pune,Maharashtra,56.77,45,College,1125040,491837,791735,4087414,824161,1982607,0,0,0,0,0,0,24266919,7061766,737446,475091337,353920333.0,327346536.0,83080758.0,39515882.0,37038046.0,947974.0,597577.0,288366.0,1862,2419,703,785,4281,1488,3882,1320,323,123,76,45,291,101,2088,712,660,395,2,1,51,10,1666,407
IR-C-C-11582,"St. Teresa's College, Ernakulam",Ernakulam,Kerala,56.71,46,College,1552720,1573712,408460,12722824,11252030,4252376,0,0,0,0,0,0,9977227,16554322,12895429,228497604,257482941.0,170641300.0,54775963.0,49047789.0,44376235.0,3906471.0,3150472.0,2869160.0,0,3249,0,745,3249,745,2949,714,152,30,148,1,304,112,2222,497,1191,310,328,63,113,16,894,220
IR-C-C-36411,Sacred Heart College (Autonomous),Tirupattur,Tamil Nadu,56.43,47,College,2012446,1097450,3770911,5992219,300215,1421865,0,0,0,0,0,0,4167635,2315360,10749915,176613782,159127092.0,145981913.0,5750968.0,32505604.0,19392821.0,2931524.0,4392652.0,1249681.0,2327,1347,505,409,3674,914,3649,885,20,29,5,0,38,25,3633,888,2890,363,525,179,104,64,152,307
IR-C-C-11708,Sacred Heart College,Kochi,Kerala,56.31,48,College,1396703,722958,184132,17898871,20131507,10137809,0,0,0,0,0,0,18070294,6235608,3796463,139427370,137134413.0,101332536.0,84442489.0,74612543.0,28223214.0,2756525.0,1892499.0,632108.0,1185,1531,142,430,2716,572,2547,519,104,47,65,6,831,220,535,136,640,166,198,53,62,9,466,128
IR-C-C-6366,Shivaji College,Delhi,Delhi,56.11,49,College,2021689,1545514,1016431,281507,96420,4122343,0,0,0,0,0,0,6062011,6181170,10885089,597769821,430310149.0,383806282.0,10177438.0,7045713.0,7665086.0,113800.0,2000.0,721459.0,2490,1504,75,30,3994,105,1914,46,2065,59,15,0,501,11,1577,40,87,5,455,13,32,10,1504,23
IR-C-C-43705,"Govt. College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,56.11,49,College,55900,241879,346638,13312833,14760771,30160328,0,0,0,0,0,0,610000,45719255,0,257825353,229453178.0,272857200.0,11939126.0,10140310.0,7095412.0,1056500.0,1000000.0,1238354.0,0,2370,0,622,2370,622,2366,620,3,2,1,0,1501,345,733,181,867,251,0,0,2,0,1365,275
IR-C-C-29284,Govt Home Science College,Chandigarh,Chandigarh,55.92,51,College,393810,207899,12193,321862,170774,77690,0,0,0,0,0,0,5495400,661241,320780,105594716,85795048.0,82833017.0,11939582.0,4306053.0,5204953.0,0.0,30000.0,5500.0,0,329,0,130,329,130,179,77,150,53,0,0,143,45,34,12,15,3,8,1,2,0,152,53
IR-C-C-41106,Kongunadu Arts and Science College,Coimbatore,Tamil Nadu,55.91,52,College,824629,192097,514420,2897588,1363333,90580,0,0,0,0,0,0,4592562,10357997,3474511,189433148,161635736.0,144912281.0,75191840.0,53253796.0,40321544.0,233835.0,200929.0,68157.0,1743,1574,203,306,3317,509,3268,439,48,70,1,0,353,104,2921,383,913,9,4,0,0,0,2357,478
IR-C-C-11697,"Maharaja's College, Ernakulam",Ernakulam,Kerala,55.7,53,College,62263,818887,1342724,1916444,2265690,3831840,0,0,0,0,0,0,7476022,5244324,11509792,355576480,237414063.0,334377640.0,12071686.0,10252292.0,11245313.0,556969.0,181432.0,307730.0,745,1434,147,658,2179,805,2151,790,28,15,0,0,201,118,1830,616,1647,624,0,0,18,12,366,98
IR-C-C-36547,The American College,Madurai,Tamil Nadu,55.69,54,College,3102046,3205730,4212875,3555500,3234762,1232800,0,0,0,0,0,0,38307199,10803601,29275808,390475940,319318204.0,284133498.0,65842813.0,51598809.0,86182464.0,2402514.0,0.0,0.0,6083,1976,701,838,8060,1539,7959,1509,95,30,6,0,1236,382,6273,916,1867,146,112,19,110,40,5420,1093
IR-C-C-20830,St. Joseph`s College of Commerce,Bengaluru,Karnataka,55.65,55,College,3515045,4087219,3476361,2554386,1009754,4367999,0,0,0,0,0,0,1404338,1174879,729540,129323319,115609023.0,114765121.0,25764449.0,20282761.0,32719514.0,128500.0,141393.0,2299250.0,1661,1138,112,162,2799,274,1701,116,1006,158,92,0,719,63,578,73,81,12,921,95,140,0,155,29
IR-C-C-41100,Sri Ramakrishna College of Arts and Science,Coimbatore,Tamil Nadu,55.64,56,College,1029951,282544,203792,7765704,499969,687687,0,0,0,0,0,0,72602762,24333285,8323634,120845006,113470638.0,100852899.0,101771752.0,72704425.0,85967663.0,2512222.0,1546387.0,807708.0,3625,1679,452,297,5304,749,4844,572,459,177,1,0,1886,251,1481,171,293,21,1560,297,1293,75,221,29
