Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,57.31,33,Overall,47193543,33385164,36437471,259181099,112076792,148993805,1202619,0,0,0,0,0,91974617,54747127,108118672,667850076,558261242.0,484268298.0,569258068.0,439197669.0,419015875.0,24535200.0,8881716.0,28332484.0,1067,276,281,89,1343,370,215,33,1127,330,1,7,206,0,692,155,30,0,540,67,0,0,328,88
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,57.04,34,Overall,42230406,20758825,47345959,120611205,109741407,88038685,2457429,40950683,24728491,2785851,471680,971544,97721003,19294798,68646270,1220295150,1130293351.0,1008337550.0,1293886009.0,1001070959.0,827582225.0,96117869.0,23973538.0,10547831.0,3433,814,1125,406,4247,1531,1981,299,2026,1219,240,13,655,384,2046,789,124,0,2336,1173,52,0,189,0
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,56.97,35,Overall,79785921,108122599,42565586,423338548,301813602,432951532,1243910,189722,8144629,0,4328508,0,97273747,138188357,117950230,1710510938,1535808218.0,1512006310.0,942376807.0,890268162.0,938983552.0,20185709.0,9972172.0,276014.0,3360,798,1108,292,4158,1400,312,117,3846,1278,0,5,282,0,2096,724,4,21,2148,461,0,0,226,242
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,55.79,36,Overall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903411498,1898048825.0,1689765309.0,3269981842.0,3861569022.0,2475445886.0,59123218.0,57401183.0,44548881.0,1740,2824,907,1433,4564,2340,799,237,3638,1883,127,220,447,558,1651,942,725,394,626,415,310,408,437,283
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.69,37,Overall,15483337,9535028,14068738,47769484,53917403,75937872,8451235,10536287,21459008,0,0,0,149195803,118459793,161165747,1419000336,1364880183.0,1280845650.0,0.0,0.0,0.0,0.0,0.0,0.0,600,478,2523,2135,1078,4658,906,3935,95,633,77,90,65,369,414,2422,479,2791,0,0,0,0,0,0
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,55.61,38,Overall,94441104,91242364,100391342,147847409,138377014,386330831,190384204,176610900,172738838,0,0,0,684160010,651838908,573498968,3140612834,2005038699.0,1621993847.0,312305697.0,274193853.0,217420021.0,94074162.0,66953764.0,38721779.0,0,0,916,2427,0,3343,0,2291,0,947,0,105,0,854,0,1483,0,1352,0,941,0,10,0,34
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Pondicherry,55.51,39,Overall,111434308,62771054,72887334,305421042,547819161,624873534,436549,162815,42671,43502688,12722020,29197022,7654890,1805473,33259510,6900000000,6000000000.0,2456400000.0,0.0,0.0,0.0,0.0,0.0,0.0,821,1015,467,517,1836,984,510,150,1309,834,17,0,110,71,864,442,0,0,0,0,0,0,974,513
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,55.47,40,Overall,63137071,55417148,28951336,237894079,81223069,28808653,25499421,3258081,4645440,0,0,0,235723530,50592987,74531600,1641916781,1200468805.0,1092975377.0,1082207336.0,909584115.0,360575323.0,4169484.0,3399268.0,3079102.0,6261,6482,545,536,12743,1081,4990,438,7311,628,442,15,1123,29,1087,121,0,0,1117,56,0,0,1093,94
IR-O-U-0006,Andhra University,Visakhapatnam,Andhra Pradesh,54.97,41,Overall,52572682,40766679,34528660,954634120,718079188,744820978,361250800,216876000,179765275,11133255,10277000,5609287,419767560,381700000,298646810,4773594684,4620827185.0,4332689969.0,708879854.0,683039215.0,624638526.0,61419454.0,62467342.0,62277234.0,1586,2188,2518,3286,3774,5804,2600,4468,904,870,270,466,457,618,2613,3972,2232,3325,455,839,240,232,143,194
IR-O-U-0305,Indian Institute of Science Education and Research Pune,Pune,Maharashtra,54.86,42,Overall,68288635,63874512,64651274,255432712,276586059,105980358,0,0,0,0,0,0,53396892,44069295,68317316,673939924,638620490.0,560647858.0,595698749.0,555577582.0,448804627.0,834335.0,45710.0,0.0,804,322,17,11,1126,28,272,4,854,24,0,0,72,1,511,13,232,5,2,0,47,0,302,9
