Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-A-U-0461,Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,56.31,22,Architecture,2972259,2463939,2259310,6997967,3243912,1639201,0,0,0,2040393,1556854,1203753,5704177,3495993,2782295,67472694,49823784.0,29189358.0,25496693.0,20466839.0,13898777.0,1603881.0,546939.0,342552.0,137,216,51,69,353,120,234,71,117,45,2,4,83,48,243,38,216,24,77,39,6,2,27,21
IR-A-C-57952,BMS College of Architecture,Bengaluru,Karnataka,56.04,23,Architecture,2928724,2910044,2263696,3571482,3504684,1817911,0,0,0,2258637,2078976,612855,5745978,5184736,3562682,83855777,81477978.0,68587591.0,34275007.0,30203248.0,10112248.0,1528931.0,1107977.0,1094000.0,214,355,7,11,569,18,387,10,166,8,16,0,91,3,168,7,20,0,0,0,1,0,238,10
IR-A-U-0379,Lovely Professional University,Phagwara,Punjab,55.86,24,Architecture,1972221,2249074,1351974,3048905,1063176,2764661,0,0,0,45697,33595,83485,4295133,1459080,4148798,55496466,45227884.0,37306042.0,45300795.0,52241050.0,76283806.0,381605.0,43550.0,330255.0,226,141,8,7,367,15,55,2,304,13,8,0,52,3,122,3,6,0,80,5,0,0,88,1
IR-A-U-0779,Amity University,North Twenty Four Parganas,West Bengal,54.71,25,Architecture,373194,0,34134,0,0,0,0,0,0,0,0,0,871170,261861,1406122,40287656,8801138.0,8829313.0,5256370.0,6907182.0,28775742.0,1119507.0,8400.0,7036.0,156,192,0,0,348,0,137,0,210,0,1,0,0,0,256,0,0,0,182,0,0,0,74,0
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,54.71,25,Architecture,335818,315993,676994,1228697,1343201,967100,0,0,0,440344,380015,385901,421334,218527,241251,18942599,15941383.0,14973319.0,4418056.0,3357429.0,1858191.0,93530.0,102873.0,92477.0,162,235,20,13,397,33,392,33,5,0,0,0,46,0,297,28,37,0,0,0,0,0,306,28
IR-A-U-0072,National Institute of Technology Patna,Patna,Bihar,54.19,27,Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35190983,32415107.0,28583045.0,133399.0,332163.0,177733.0,978489.0,0.0,5000.0,116,83,19,19,199,38,104,19,95,19,0,0,19,0,125,24,25,0,79,9,0,0,40,15
IR-A-C-46330,"Manipal School of Architecture and Planning, MAHE",Udupi,Karnataka,53.21,28,Architecture,5773642,5054832,2645740,175831369,23010,480042,0,0,0,0,222540,203462,3633224,2412550,2632111,112350095,109911801.0,95974827.0,53691948.0,41042903.0,25261091.0,140122.0,181663.0,0.0,253,426,8,19,679,27,192,9,485,18,2,0,2,0,18,1,0,0,15,0,0,0,5,1
IR-A-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,52.73,29,Architecture,623427,1614438,1423954,1124500,969481,37918,0,0,0,1042183,524870,205315,2202963,413661,78782,49235939,38828560.0,37997097.0,514534.0,477196.0,400304.0,648765.0,420156.0,415137.0,173,229,7,8,402,15,299,8,101,7,2,0,6,0,150,2,0,0,43,1,0,0,113,1
IR-A-C-29341,"Chandigarh College of Architecture, Sector-12",Chandigarh,Chandigarh,52.6,30,Architecture,1234044,1087037,182924,1376780,196122,153858,0,0,0,204550,0,0,0,0,0,70522306,71795768.0,53135978.0,5000000.0,3417000.0,9700000.0,500000.0,14000.0,9000.0,73,126,20,14,199,34,41,5,158,29,0,0,20,0,29,3,0,0,0,0,0,0,49,3
IR-A-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,52.59,31,Architecture,700933,532634,105837,56616,268809,0,0,0,0,0,0,0,16907616,4399087,4626952,90820000,85634225.0,88311050.0,95369372.0,75245013.0,23619171.0,600000.0,384064.0,0.0,70,55,0,0,125,0,50,0,75,0,0,0,2,0,24,0,0,0,2,0,0,0,24,0
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,52.58,32,Architecture,2305946,640909,776274,391100,498578,812684,0,0,0,0,0,0,163439,288951,0,29924490,23024828.0,18586820.0,2362873.0,1666703.0,152518.0,54770.0,120890.0,44000.0,137,134,7,26,271,33,130,5,139,28,2,0,23,0,145,11,101,0,0,0,0,0,67,11
IR-A-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,51.6,33,Architecture,61912,0,76933,0,239186,84169,0,0,0,0,0,0,5662711,3042662,507012,19694460,19172220.0,18510755.0,9644720.0,11797088.0,8416794.0,100011.0,0.0,0.0,51,69,0,0,120,0,26,0,94,0,0,0,9,0,0,0,0,0,8,0,0,0,1,0
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,51.16,34,Architecture,745808,678862,849781,228400,1659395,1487578,0,0,0,29170,0,0,48640,12331,116089,72297806,53188865.0,53533948.0,1263551.0,1238650.0,660300.0,375488.0,6000.0,13850.0,144,245,49,54,389,103,383,97,5,6,1,0,16,3,335,96,85,49,3,0,5,0,258,50
IR-A-U-0373,Chitkara University,Rajpura,Punjab,50.96,35,Architecture,4147072,3350887,337566,10677272,9263454,1929048,0,0,0,2632248,2193540,1012833,15327229,11821835,16329986,53638596,43342089.0,35640803.0,56245695.0,35944707.0,52321834.0,1024586.0,863309.0,83952.0,163,186,0,0,349,0,99,0,250,0,0,0,5,0,50,0,2,0,35,0,0,0,18,0
IR-A-U-0092,National Institute of Technology Raipur,Raipur,Chhattisgarh,50.63,36,Architecture,662286,679357,675230,2406140,682403,1900361,0,0,0,2478,0,0,0,0,0,33008395,25077828.0,21201983.0,1843423.0,198457.0,151005.0,488495.0,0.0,0.0,109,133,0,0,242,0,119,0,122,0,1,0,37,0,129,0,9,0,110,0,0,0,47,0
IR-A-U-0830,Anant National University,Ahmedabad,Gujarat,49.53,37,Architecture,813341,632735,503951,4726469,3041693,4274996,0,0,0,3469976,2968097,6848190,8545652,11519821,9485580,65658684,62150431.0,60760099.0,19034268.0,18321897.0,7183854.0,0.0,0.0,0.0,157,239,0,0,396,0,282,0,114,0,0,0,20,0,55,0,0,0,65,0,0,0,10,0
IR-A-C-47256,"BMS School of Architecture, Yelahanka",Bengaluru,Karnataka,49.47,38,Architecture,577775,559416,677697,4524252,1319163,211086,0,0,0,140800,349148,38898,1271755,12466772,1335038,49316009,50983299.0,51627603.0,60471819.0,13776835.0,12946375.0,3229469.0,101298.0,366351.0,204,291,4,8,495,12,377,11,116,1,2,0,153,0,126,0,65,0,3,0,0,0,211,0
IR-A-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,48.99,39,Architecture,692880,1777393,2911247,213835,4116990,1949008,0,0,0,0,0,0,433485,24544,387536,57495618,52670129.0,42645700.0,15436905.0,18146362.0,12115399.0,203149.0,327419.0,156940.0,119,188,10,15,307,25,202,15,103,10,2,0,2,1,107,6,2,0,4,0,0,0,103,7
IR-A-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,47.53,40,Architecture,475000,1089449,470810,8399953,8461564,2479923,0,0,0,287160,0,360000,550000,0,413000,17027051,37809480.0,32705000.0,14324892.0,931453.0,7993000.0,948803.0,536174.0,89780.0,186,128,5,7,314,12,294,11,19,1,1,0,57,3,226,8,0,7,35,0,0,0,248,4
