,year,stream,inst_id,inst_name,city,state,score,rank,total_duration_UG,total_duration_PG,total_n_male_UG,total_n_male_PG,total_n_female_UG,total_n_female_PG,total_total_strength_UG,total_total_strength_PG,total_same_state_strength_UG,total_same_state_strength_PG,total_other_state_strength_UG,total_other_state_strength_PG,total_other_country_strength_UG,total_other_country_strength_PG,total_econ_backward_UG,total_econ_backward_PG,total_social_backward_UG,total_social_backward_PG,total_tuit_reimb_govt_UG,total_tuit_reimb_govt_PG,total_tuit_reimb_inst_UG,total_tuit_reimb_inst_PG,total_tuit_reimb_prvt_UG,total_tuit_reimb_prvt_PG,total_no_tuit_reimb_UG,total_no_tuit_reimb_PG,total_cap_exp_2020_21_lib,total_cap_exp_2020_21_equip,total_cap_exp_2020_21_asset,total_cap_exp_2020_21_workshop,total_cap_exp_2019_20_lib,total_cap_exp_2019_20_equip,total_cap_exp_2019_20_asset,total_cap_exp_2019_20_workshop,total_cap_exp_2018_19_lib,total_cap_exp_2018_19_equip,total_cap_exp_2018_19_asset,total_cap_exp_2018_19_workshop,total_op_exp_2020_21_maint,total_op_exp_2020_21_salary,total_op_exp_2020_21_seminar,total_op_exp_2019_20_maint,total_op_exp_2019_20_salary,total_op_exp_2019_20_seminar,total_op_exp_2018_19_maint,total_op_exp_2018_19_salary,total_op_exp_2018_19_seminar
218,2022.0,Medical,IR-D-C-7251,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,52.83,31,5.0,5.0,589.0,133.0,660.0,157.0,1249.0,290.0,283.0,81.0,943.0,208.0,23.0,1.0,39.0,4.0,186.0,16.0,43.0,6.0,125.0,4.0,5.0,0.0,52.0,10.0,46997090.0,43174384.0,22791468.0,0.0,44734840.0,25643132.0,135301700.0,0.0,32215688.0,24640856.0,10385965.0,0.0,1556425500.0,1142561500.0,1891610.0,1542131700.0,1007634900.0,7201351.0,1454790500.0,669512800.0,8005226.0
219,2022.0,Medical,IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,48.21,46,5.0,5.0,297.0,234.0,253.0,172.0,550.0,406.0,203.0,113.0,347.0,293.0,0.0,0.0,22.0,1.0,468.0,305.0,272.0,0.0,0.0,267.0,0.0,0.0,218.0,39.0,20483816.0,281777180.0,20775356.0,0.0,17139950.0,348217280.0,18243688.0,0.0,19578880.0,26262264.0,6003564.0,0.0,381347600.0,3061660400.0,3129146.0,382701220.0,2865303300.0,3860253.0,193464480.0,2599626200.0,1342597.0
220,2022.0,Medical,IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,57.41,17,5.0,3.0,466.0,263.0,784.0,292.0,1250.0,555.0,334.0,130.0,907.0,423.0,9.0,2.0,4.0,0.0,249.0,78.0,4.0,2.0,2.0,0.0,0.0,0.0,247.0,76.0,25240616.0,166439070.0,112830220.0,0.0,16890424.0,272719300.0,185277020.0,0.0,16598186.0,423963040.0,134280200.0,0.0,1444920600.0,2052892500.0,5071893.0,1302076500.0,1951576600.0,4534640.0,1214574200.0,1593327900.0,8419312.0
221,2022.0,Medical,IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,53.62,28,5.0,5.0,479.0,132.0,171.0,181.0,650.0,313.0,260.0,97.0,390.0,216.0,0.0,0.0,22.0,1.0,334.0,162.0,6.0,0.0,12.0,0.0,10.0,0.0,328.0,163.0,5696856.0,102261960.0,4729242.0,0.0,5830522.0,284017570.0,804372.0,0.0,4939134.0,207859950.0,1168756.0,0.0,35940630.0,3814089700.0,957653.0,32852608.0,3891263500.0,1778710.0,34526964.0,3465599700.0,1700974.0
222,2022.0,Medical,IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,54.73,25,5.0,3.0,377.0,124.0,472.0,173.0,849.0,297.0,403.0,155.0,383.0,110.0,63.0,32.0,0.0,0.0,656.0,205.0,0.0,0.0,9.0,49.0,0.0,0.0,647.0,156.0,52460624.0,308094200.0,0.0,0.0,47691476.0,280085630.0,0.0,0.0,43355890.0,254623310.0,0.0,0.0,179638780.0,632525000.0,5337061.0,312534180.0,689944260.0,2997359.0,251510080.0,766490940.0,9500523.0
223,2022.0,Medical,IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,57.92,15,5.0,3.0,529.0,217.0,721.0,294.0,1250.0,511.0,604.0,325.0,522.0,168.0,124.0,18.0,0.0,0.0,547.0,305.0,34.0,13.0,252.0,214.0,180.0,0.0,81.0,78.0,31443268.0,106168670.0,908721860.0,0.0,44097390.0,241766800.0,59663132.0,0.0,40262270.0,116165140.0,29355060.0,0.0,3550419200.0,1817879200.0,13474662.0,2553551600.0,1458679200.0,23661312.0,1394259800.0,1351284000.0,22577262.0
224,2022.0,Medical,IR-D-N-0158,SCB Medical College and Hospital,Cuttack,Odisha,49.02,44,5.0,3.0,850.0,361.0,400.0,277.0,1250.0,638.0,1228.0,584.0,22.0,54.0,0.0,0.0,202.0,117.0,378.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,234.0,8000000.0,49328468.0,215924400.0,0.0,8000000.0,10620000.0,21382800.0,0.0,8000000.0,4320000.0,21083000.0,0.0,1058450400.0,2211118000.0,6799254.0,1129010200.0,907567940.0,6842600.0,376443700.0,768714000.0,5849587.0
225,2022.0,Medical,IR-D-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,91.6,1,5.0,5.0,404.0,724.0,126.0,685.0,530.0,1409.0,37.0,189.0,462.0,1157.0,31.0,63.0,15.0,55.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,768.0,166900000.0,4164700000.0,1253100000.0,0.0,160242000.0,2577136000.0,5258188000.0,0.0,166128000.0,3468897000.0,5097020000.0,0.0,9738200000.0,17601400000.0,4800000.0,9658861000.0,17361592000.0,3827000.0,8751099000.0,16166875000.0,76403000.0
226,2022.0,Medical,IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,49.93,41,5.0,5.0,807.0,693.0,442.0,535.0,1249.0,1228.0,1099.0,850.0,142.0,378.0,8.0,0.0,21.0,18.0,638.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,645.0,7909000.0,257000.0,373513000.0,0.0,9998000.0,480000.0,458729000.0,0.0,6011000.0,122856000.0,60255000.0,0.0,36418000.0,1732658000.0,0.0,19548000.0,1684372000.0,0.0,960935000.0,1743770000.0,0.0
227,2022.0,Medical,IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,67.18,7,0.0,5.0,0.0,222.0,0.0,139.0,0.0,361.0,0.0,171.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,282419040.0,5582299600.0,4889554400.0,0.0,15750.0,551446340.0,2371607800.0,0.0,0.0,2223317000.0,2527889700.0,0.0,172600050.0,4051612700.0,59532948.0,53301716.0,4133693000.0,32790338.0,42184384.0,3915534800.0,440000.0
